item,label,date,platforms,countryOfOrigin,mobygames_id
http://www.wikidata.org/entity/Q7078406,Odyssey: The Compleat Apventure,1980,Apple II,United States of America,61160
http://www.wikidata.org/entity/Q7535140,Skiing,1980,Atari 2600,United States of America,10657
http://www.wikidata.org/entity/Q8024141,Windfall: The Oil Crisis Game,1980,Apple II,United States of America,10227
http://www.wikidata.org/entity/Q48893702,Electronic Table Soccer,1980,Magnavox Odyssey²,,32763
http://www.wikidata.org/entity/Q88604,3-D Tic-Tac-Toe,1980,"Atari 2600,Atari 8-bit family",,13384
http://www.wikidata.org/entity/Q4867640,Basketball,1980,Intellivision,United States of America,47656
http://www.wikidata.org/entity/Q2589892,Eamon,1980,"iOS,Apple II series",United States of America,9588
http://www.wikidata.org/entity/Q3072774,Game & Watch: Fire,1980,Game & Watch series,Japan,"86542,86855"
http://www.wikidata.org/entity/Q11338965,Game & Watch: Ball,1980,Game & Watch series,Japan,"46972,86459"
http://www.wikidata.org/entity/Q88649,Mission: Asteroid,1980,"Commodore 64,Apple II",United States of America,15282
http://www.wikidata.org/entity/Q20054564,Midway Campaign,1980,Commodore 64,United States of America,14840
http://www.wikidata.org/entity/Q6348597,Kaitei Takara Sagashi,1980,arcade video game machine,Japan,64550
http://www.wikidata.org/entity/Q25377021,Space Invaders Part II,1980,arcade video game machine,,"63076,63089"
http://www.wikidata.org/entity/Q5305511,Dragster,1980,Atari 2600,United States of America,10474
http://www.wikidata.org/entity/Q379915,Adventure,1980,Atari 2600,United States of America,11162
http://www.wikidata.org/entity/Q7572551,Space Zap,1980,arcade video game machine,United States of America,80140
http://www.wikidata.org/entity/Q56276940,Stellar Track,1980,Atari 2600,United States of America,24937
http://www.wikidata.org/entity/Q6951407,N-Sub,1980,"arcade video game machine,SG-1000",Japan,55518
http://www.wikidata.org/entity/Q3473833,Sasuke vs. Commander,1980,arcade video game machine,,53792
http://www.wikidata.org/entity/Q4826111,Auto Racing,1980,Intellivision,United States of America,10386
http://www.wikidata.org/entity/Q5517793,Galactic Empire,1980,"Apple II,Classic Mac OS",United States of America,74572
http://www.wikidata.org/entity/Q7000706,Network,1980,Apple II,United States of America,16500
http://www.wikidata.org/entity/Q3780252,Balloon Bomber,1980,arcade video game machine,Japan,143501
http://www.wikidata.org/entity/Q5455016,Fishing Derby,1980,Atari 2600,United States of America,10429
http://www.wikidata.org/entity/Q7685817,Targ,1980,"Commodore 64,arcade video game machine",United States of America,64456
http://www.wikidata.org/entity/Q22124070,Game & Watch: Flagman,1980,Game & Watch series,Japan,86467
http://www.wikidata.org/entity/Q2939793,Carnival,1980,"ZX Spectrum,Atari 2600,ColecoVision",Japan,9766
http://www.wikidata.org/entity/Q60489291,The End,1980,"arcade video game machine,Arcadia 2001",,89414
http://www.wikidata.org/entity/Q3455686,Moon Cresta,1980,"PlayStation 2,ZX Spectrum,Commodore 64,Super Nintendo Entertainment System,Amstrad CPC,Dragon 32/64",Japan,14937
http://www.wikidata.org/entity/Q3243804,Rally-X,1980,"iOS,arcade video game machine,MSX,PlayStation 4,Nintendo Switch",Japan,19617
http://www.wikidata.org/entity/Q7209123,Polaris,1980,Atari 2600,Japan,29190
http://www.wikidata.org/entity/Q18907822,Galactic Attack,1980,Apple II,United States of America,"32574,29245"
http://www.wikidata.org/entity/Q2669734,Circus Atari,1980,Atari 2600,,9748
http://www.wikidata.org/entity/Q95595171,Ouranos!,1980,Commodore PET,,38874
http://www.wikidata.org/entity/Q666016,Radar Scope,1980,Zilog Z80,Japan,64079
http://www.wikidata.org/entity/Q829331,Berzerk,1980,"arcade video game machine,Zilog Z80,Atari 2600,Atari 5200,Vectrex",United States of America,8847
http://www.wikidata.org/entity/Q55602922,ABM,1980,Apple II,United States of America,63061
http://www.wikidata.org/entity/Q2359187,Stunt Cycle,1980,arcade video game machine,United States of America,71078
http://www.wikidata.org/entity/Q3873398,Navarone,1980,arcade video game machine,Japan,76901
http://www.wikidata.org/entity/Q97627811,Computer Ambush,1980,Commodore 64,,14948
http://www.wikidata.org/entity/Q4785083,Video Pinball,1980,Atari 2600,United States of America,9801
http://www.wikidata.org/entity/Q7439840,Sea Battle,1980,"Atari 2600,Intellivision",United States of America,10586
http://www.wikidata.org/entity/Q517640,Phoenix,1980,Atari 2600,Japan,8987
http://www.wikidata.org/entity/Q5704745,Heli Fire,1980,arcade video game machine,Japan,64052
http://www.wikidata.org/entity/Q11328600,Vermin,1980,Game & Watch series,Japan,86491
http://www.wikidata.org/entity/Q55623444,Mission Escape!,1980,Apple II series,United States of America,61159
http://www.wikidata.org/entity/Q29867377,Computer Air Combat,1980,Apple II,United States of America,54998
http://www.wikidata.org/entity/Q55608269,Computer Acquire,1980,Atari 8-bit family,United States of America,49901
http://www.wikidata.org/entity/Q48998871,Galactic Trader,1980,"Atari 8-bit family,TRS-80 Model I",United States of America,53450
http://www.wikidata.org/entity/Q96033519,Planetoids,1980,Apple II series,United States of America,82753
http://www.wikidata.org/entity/Q20874798,Horse Racing,1980,Intellivision,United States of America,30428
http://www.wikidata.org/entity/Q60785130,Airmail Pilot,1980,"Texas Instruments TI-99/4A,TRS-80 Model I",,140159
http://www.wikidata.org/entity/Q7941634,Voodoo Castle,1980,"ZX Spectrum,Commodore 64,TRS-80 Model I,Commodore VIC-20,Dragon 32/64",United States of America,29088
http://www.wikidata.org/entity/Q105626635,Othello,1980,Atari 2600,,43520
http://www.wikidata.org/entity/Q4811504,Astro Fighter,1980,arcade video game machine,Japan,68805
http://www.wikidata.org/entity/Q97608070,NHL Hockey,1980,Intellivision,,40644
http://www.wikidata.org/entity/Q4811508,Astro Invader,1980,arcade video game machine,United States of America,63361
http://www.wikidata.org/entity/Q7575128,Spectar,1980,arcade video game machine,United States of America,29545
http://www.wikidata.org/entity/Q16259118,Red Baron,1980,arcade video game machine,United States of America,106859
http://www.wikidata.org/entity/Q6680174,Lords of Karma,1980,"TRS-80 Model I,Apple II",United States of America,58025
http://www.wikidata.org/entity/Q3942786,Rupan Sansei,1980,arcade video game machine,Japan,153034
http://www.wikidata.org/entity/Q118744296,Blastar,1980,,,199716
http://www.wikidata.org/entity/Q29867401,Computer Quarterback,"1980,1981","Commodore 64,Atari 8-bit family,Apple II",,50900
http://www.wikidata.org/entity/Q4053202,Wizard and the Princess,"1980,1982","Commodore 64,DOS",United States of America,1761
http://www.wikidata.org/entity/Q7335481,Rip-Off,"1980,1982",arcade video game machine,United States of America,13197
http://www.wikidata.org/entity/Q55336369,Crossword Puzzle,"1980,1982","Commodore 64,Commodore PET",,52390
http://www.wikidata.org/entity/Q2008839,Tank Battalion,"1980,1984","Microsoft Windows,arcade video game machine,MSX,PlayStation 4,Nintendo Switch",Japan,19628
http://www.wikidata.org/entity/Q611289,Crazy Climber,"1980,1986","Wii,Nintendo Entertainment System,arcade video game machine,Atari 2600,PlayStation 4,Nintendo Switch",Japan,13631
http://www.wikidata.org/entity/Q5174041,Cosmic Avenger,1981,"arcade video game machine,ColecoVision",Japan,10241
http://www.wikidata.org/entity/Q401659,Crossfire,1981,Apple II,United States of America,75
http://www.wikidata.org/entity/Q1886140,Wizardry: Proving Grounds of the Mad Overlord,1981,Apple II,United States of America,1209
http://www.wikidata.org/entity/Q3520568,The Demon's Forge,1981,"PC booter,Apple II",United States of America,1795
http://www.wikidata.org/entity/Q511974,Zork II,1981,"Microsoft Windows,Commodore 64,Commodore Amiga,DOS,Atari ST,MSX",United States of America,52
